iter	MAE
0	12.22685709
1	12.08607862
2	11.98080255
3	11.8531965
4	11.74371173
5	11.56383624
6	11.45280764
7	11.33581615
8	11.17431275
9	11.06915668
10	10.94854434
11	10.84273518
12	10.74208853
13	10.64159081
14	10.55545449
15	10.45196037
16	10.32232678
17	10.24869719
18	10.13343814
19	10.00373652
20	9.895439309
21	9.804635463
22	9.705041547
23	9.577283796
24	9.515999931
25	9.456832364
26	9.358335181
27	9.289945699
28	9.219943777
29	9.15049377
30	9.06475487
31	9.015559842
32	8.934681062
33	8.879537766
34	8.823810652
35	8.761282646
36	8.687266449
37	8.634335171
38	8.584859204
39	8.521333411
40	8.470619452
41	8.408789037
42	8.357783816
43	8.286146444
44	8.241268369
45	8.199129814
46	8.137291099
47	8.094727292
48	8.047530066
49	8.018822767
50	7.980065
51	7.942129081
52	7.909873554
53	7.86963743
54	7.830340087
55	7.790514602
56	7.742691335
57	7.693003759
58	7.627969685
59	7.595405965
60	7.54260862
61	7.474188134
62	7.430514768
63	7.371051505
64	7.342455867
65	7.294768297
66	7.24193161
67	7.221459102
68	7.193166764
69	7.155697603
70	7.124068739
71	7.095589725
72	7.056686028
73	7.010086557
74	6.986015841
75	6.945697722
76	6.922357436
77	6.864648003
78	6.842794952
79	6.803030082
80	6.774986589
81	6.743286667
82	6.726715512
83	6.684871437
84	6.64471949
85	6.616249809
86	6.586415503
87	6.564709764
88	6.527781133
89	6.49914957
90	6.473426943
91	6.450899959
92	6.41866277
93	6.390415672
94	6.363062703
95	6.33139029
96	6.297734006
97	6.273409886
98	6.246471726
99	6.219754848
100	6.197261038
101	6.179198024
102	6.152226024
103	6.128897622
104	6.104006648
105	6.089232159
106	6.066456454
107	6.044217251
108	6.028681316
109	6.011911721
110	5.988301851
111	5.96929534
112	5.952744351
113	5.92464191
114	5.903246108
115	5.882568622
116	5.855364348
117	5.82175921
118	5.803436572
119	5.786085435
120	5.762355877
121	5.750182298
122	5.725933864
123	5.711386766
124	5.690509403
125	5.678383595
126	5.663328159
127	5.637182786
128	5.617139716
129	5.598500214
130	5.580598943
131	5.571372732
132	5.554093938
133	5.543776158
134	5.525878825
135	5.514064324
136	5.499013909
137	5.479376058
138	5.469413716
139	5.460677917
140	5.444834355
141	5.4353473
142	5.41496457
143	5.407404655
144	5.390838513
145	5.370466324
146	5.35405843
147	5.34267829
148	5.332714612
149	5.322869208
150	5.310950058
151	5.291265937
152	5.274421545
153	5.263895521
154	5.252074142
155	5.241081265
156	5.23083884
157	5.221587508
158	5.208716516
159	5.198965682
160	5.187154753
161	5.169321412
162	5.158232083
163	5.145946878
164	5.134577501
165	5.117702059
166	5.108945075
167	5.10230293
168	5.088332929
169	5.085216097
170	5.076141246
171	5.061812738
172	5.048221154
173	5.036893507
174	5.028776424
175	5.012866957
176	5.003060142
177	4.993208257
178	4.969196744
179	4.955537352
180	4.946879622
181	4.938617826
182	4.929537562
183	4.921757019
184	4.904333218
185	4.891486016
186	4.87258712
187	4.856595029
188	4.847643933
189	4.83380925
190	4.816407712
191	4.810904773
192	4.804503202
193	4.787460169
194	4.783833329
195	4.776055094
196	4.772691731
197	4.756555923
198	4.747097198
199	4.728903676
200	4.720848552
201	4.711572109
202	4.703570574
203	4.687028869
204	4.682029239
205	4.668742578
206	4.651533483
207	4.640730731
208	4.628639053
209	4.614033686
210	4.594297062
211	4.584930574
212	4.577686384
213	4.571256924
214	4.555567766
215	4.539921334
216	4.524860198
217	4.51360694
218	4.496752391
219	4.4819754
220	4.469312193
221	4.456678748
222	4.443041194
223	4.428161034
224	4.411847963
225	4.40123079
226	4.390045523
227	4.378136787
228	4.370095553
229	4.35906065
230	4.351975071
231	4.34627184
232	4.338367775
233	4.33114477
234	4.324118676
235	4.308433002
236	4.302470432
237	4.289909555
238	4.282146281
239	4.274808293
240	4.267206491
241	4.258630139
242	4.250299556
243	4.235069765
244	4.229972811
245	4.214716265
246	4.205422425
247	4.1892832
248	4.173752207
249	4.158030928
250	4.146622573
251	4.13824843
252	4.131646626
253	4.121793942
254	4.115442216
255	4.107311422
256	4.094284337
257	4.086859375
258	4.081259883
259	4.073680916
260	4.059048625
261	4.049505597
262	4.038234842
263	4.03439514
264	4.027470954
265	4.020915335
266	4.015703172
267	4.007778126
268	4.003114184
269	3.998273024
270	3.981231595
271	3.974067404
272	3.961681046
273	3.955084606
274	3.941741355
275	3.935861727
276	3.92963936
277	3.922810505
278	3.916239112
279	3.911926919
280	3.905820214
281	3.901191283
282	3.894478137
283	3.889484914
284	3.881181947
285	3.869363243
286	3.86235294
287	3.848337199
288	3.83850819
289	3.823740897
290	3.817409605
291	3.810851491
292	3.80369832
293	3.79472179
294	3.788258527
295	3.780640562
296	3.779290134
297	3.769275372
298	3.761362955
299	3.755817736
300	3.750463738
301	3.741830531
302	3.73968127
303	3.732039397
304	3.719500969
305	3.707188027
306	3.693090604
307	3.680559975
308	3.66613321
309	3.659035886
310	3.645387388
311	3.639914157
312	3.637770728
313	3.635941862
314	3.63340165
315	3.631608747
316	3.621304874
317	3.616759169
318	3.6108922
319	3.602616825
320	3.597263345
321	3.586339
322	3.579726566
323	3.57624286
324	3.575009007
325	3.569512105
326	3.56305684
327	3.553514142
328	3.547650405
329	3.543573971
330	3.539446484
331	3.533641384
332	3.527310545
333	3.522205946
334	3.518273855
335	3.514787545
336	3.51248624
337	3.504549711
338	3.496908244
339	3.486791736
340	3.480485328
341	3.472487615
342	3.469057978
343	3.462775184
344	3.457603227
345	3.456205283
346	3.450127835
347	3.444737563
348	3.436860001
349	3.432025708
350	3.426674793
351	3.421116741
352	3.413835421
353	3.407272904
354	3.403404978
355	3.399157948
356	3.395414074
357	3.394253125
358	3.386405262
359	3.383377954
360	3.377012465
361	3.366049136
362	3.364103045
363	3.359119667
364	3.349773344
365	3.340502535
366	3.33022919
367	3.328510521
368	3.325133199
369	3.322115505
370	3.316447005
371	3.309465161
372	3.306992866
373	3.297793842
374	3.29504245
375	3.293635205
376	3.29015088
377	3.285082883
378	3.278991295
379	3.275653471
380	3.269964129
381	3.263754847
382	3.258403336
383	3.255546771
384	3.247809496
385	3.243784107
386	3.236600493
387	3.234299167
388	3.226655023
389	3.223885036
390	3.222736433
391	3.219302963
392	3.216510914
393	3.212527992
394	3.20976352
395	3.202917489
396	3.20037519
397	3.1969406
398	3.190913239
399	3.183674533
400	3.180723592
401	3.174194541
402	3.168974215
403	3.16031606
404	3.159024874
405	3.153974767
406	3.150589115
407	3.149312
408	3.145310333
409	3.141748114
410	3.135708004
411	3.133790735
412	3.12912506
413	3.122301539
414	3.113549031
415	3.108640241
416	3.099622822
417	3.096928192
418	3.092151198
419	3.087044777
420	3.083184075
421	3.079320956
422	3.076332289
423	3.071111922
424	3.063100757
425	3.052246981
426	3.044793092
427	3.043089342
428	3.034388672
429	3.030444787
430	3.02186124
431	3.017987889
432	3.017311869
433	3.015393948
434	3.003274532
435	3.001397009
436	2.996886959
437	2.995061371
438	2.992353253
439	2.988850167
440	2.985755995
441	2.981897276
442	2.978753415
443	2.973964435
444	2.968042667
445	2.965382112
446	2.962408291
447	2.956474861
448	2.950674138
449	2.945376576
450	2.942613129
451	2.940769554
452	2.938852056
453	2.937759501
454	2.935668979
455	2.932331295
456	2.931589467
457	2.928834951
458	2.922995722
459	2.920328353
460	2.91393593
461	2.911941662
462	2.906797203
463	2.90325522
464	2.89881393
465	2.895811269
466	2.892518051
467	2.891177218
468	2.883521303
469	2.880265663
470	2.877797906
471	2.870338363
472	2.865363836
473	2.861794509
474	2.858216016
475	2.854530431
476	2.852643623
477	2.848645641
478	2.844634509
479	2.842340978
480	2.840282485
481	2.832543228
482	2.829785448
483	2.824960519
484	2.820826272
485	2.812925794
486	2.807463247
487	2.801787175
488	2.798986203
489	2.795294855
490	2.791333299
491	2.787497894
492	2.784773462
493	2.781971853
494	2.779026753
495	2.777362935
496	2.77301551
497	2.770224111
498	2.763007409
499	2.760939344
500	2.75825278
501	2.753125654
502	2.748587649
503	2.745965794
504	2.742348905
505	2.737596177
506	2.735726573
507	2.73340919
508	2.72940854
509	2.728781091
510	2.72479108
511	2.72196068
512	2.719635804
513	2.715440475
514	2.713997566
515	2.709664718
516	2.706489051
517	2.704285803
518	2.702372109
519	2.701676913
520	2.697768818
521	2.695540878
522	2.68856042
523	2.684196498
524	2.681880548
525	2.679912732
526	2.675749321
527	2.673629442
528	2.670942071
529	2.669502935
530	2.666780958
531	2.665446347
532	2.662043081
533	2.654410426
534	2.649093069
535	2.646199383
536	2.643249389
537	2.641115265
538	2.639279855
539	2.638134614
540	2.634718256
541	2.630753465
542	2.628302165
543	2.626978935
544	2.625283199
545	2.623043001
546	2.616722059
547	2.612424121
548	2.60744408
549	2.606376405
550	2.605275097
551	2.603023983
552	2.600816641
553	2.599264822
554	2.598776982
555	2.596819348
556	2.595388364
557	2.592827811
558	2.591923028
559	2.590507548
560	2.587548489
561	2.585996446
562	2.584833214
563	2.581003974
564	2.574559677
565	2.569414031
566	2.563284846
567	2.558136167
568	2.555397415
569	2.551277785
570	2.5463932
571	2.544425397
572	2.540266464
573	2.539134272
574	2.536898855
575	2.532770275
576	2.530669345
577	2.527901384
578	2.526483398
579	2.524825143
580	2.523853316
581	2.521860463
582	2.52127006
583	2.516008306
584	2.513901399
585	2.512533261
586	2.508334993
