iter	Passed	Remaining
0	136	135864
1	139	69747
2	143	47564
3	146	36372
4	148	29560
5	151	25145
6	154	21951
7	157	19523
8	161	17739
9	163	16205
10	166	14958
11	168	13896
12	172	13078
13	175	12336
14	177	11676
15	181	11153
16	184	10696
17	188	10262
18	190	9853
19	193	9488
20	197	9187
21	200	8907
22	203	8634
23	205	8374
24	208	8123
25	211	7916
26	213	7705
27	216	7522
28	219	7343
29	221	7163
30	224	7004
31	226	6839
32	228	6700
33	231	6576
34	233	6444
35	236	6320
36	238	6213
37	241	6110
38	243	6011
39	246	5917440	249	5843
41	252	5767
42	255	5695
43	259	5628
44	261	5553
45	264	5490
46	268	5435
47	270	5373
48	273	5308
49	276	5256
50	279	5207
51	282	5155
52	284	5090
53	287	5041
54	290	4991
55	292	4936
56	295	4883
57	298	4842
58	300	4794
59	302	4745
60	305	4701
61	308	4669
62	311	4635
63	314	4596
64	317	4562
65	320	4530
66	322	4487
67	325	4455
68	328	4426
69	330	4391
70	333	4368
71	337	4355
72	340	4323
73	343	4298
74	346	4274
75	349	4249
76	351	4218
77	355	4198
78	359	4187
79	362	4164
80	364	4137
81	368	4121
82	371	4100
83	373	4071
84	377	4065
85	380	4049
86	383	4023
87	385	3998
88	389	3984
89	392	3963
90	394	3944
91	397	3925
92	400	3908
93	403	3886
94	405	3866
95	409	3855
96	412	3844
97	415	3822
98	417	3800
99	419	3777
100	421	3756
101	424	3741
102	427	3727
103	430	3712
104	433	3694
105	436	3680
106	439	3669
107	442	3652
108	444	3636
109	448	3626
110	451	3615
111	454	3599
112	457	3590
113	459	3571
114	462	3557
115	465	3548
116	468	3537
117	470	3520
118	473	3506
119	475	3488
120	478	3473
121	480	3459
122	482	3443
123	485	3429
124	488	3421
125	491	3409
126	494	3396
127	496	3382
128	498	3366
129	501	3356
130	504	3343
131	506	3330
132	509	3321
133	511	3308
134	514	3294
135	516	3284
136	519	3270
137	521	3257
138	524	3246
139	526	3233
140	529	3226
141	532	3218
142	535	3208
143	538	3199
144	541	3190
145	543	3181
146	546	3172
147	549	3165
148	552	3157
149	555	3149
150	558	3141
151	561	3132
152	564	3126
153	567	3117
154	570	3109
155	573	3100
156	575	3089
157	577	3078
158	581	3074
159	584	3069
160	587	3061
161	590	3055
162	593	3049
163	596	3039
164	598	3029
165	601	3020
166	603	3010
167	606	3004
168	609	2995
169	612	2988
170	614	2977
171	616	2969
172	619	2960
173	622	2954
174	625	2946
175	627	2938
176	629	2927
177	631	2917
178	634	2911
179	637	2904
180	640	2896
181	642	2888
182	644	2877
183	647	2873
184	650	2864
185	652	2855
186	655	2848
187	657	2840
188	659	2830
189	662	2824
190	665	2816
191	667	2807
192	669	2798
193	671	2790
194	674	2783
195	677	2779
196	680	2771
197	682	2766
198	685	2758
199	687	2751
200	690	2744
201	693	2740
202	696	2735
203	699	2728
204	702	2723
205	704	2713
206	707	2708
207	710	2704
208	713	2700
209	716	2696
210	718	2688
211	721	2682
212	724	2678
213	727	2673
214	730	2666
215	732	2659
216	734	2652
217	737	2644
218	740	2640
219	743	2636
220	746	2631
221	748	2623
222	751	2618
223	754	2613
224	757	2607
225	760	2604
226	763	2598
227	765	2592
228	768	2585
229	770	2580
230	773	25732231	775	25672232	778	25612233	780	25562234	784	25522235	787	25472236	789	25422237	793	2539
238	795	2534
239	798	2530
240	801	2525
241	804	2521
242	808	2517
243	810	2510
244	813	2505
245	815	2498
246	818	2496
247	820	2488
248	822	24812249	824	24742250	827	24692251	830	24642252	832	24592253	835	24552254	839	24512255	841	24452256	844	24402257	847	24372258	849	24312259	853	2428
260	856	2425
261	858	2418
262	861	2413
263	864	2408
264	867	2405
265	870	2401
266	873	2397
267	875	2391
268	878	2386
269	880	2380
270	883	2376
271	886	2372
272	888	2366
273	891	2361
274	893	2356
275	897	2354
276	899	2347
277	902	2342
278	905	2340
279	908	2335
280	910	2330
281	913	2327
282	916	2321
283	919	2317
284	921	2312
285	924	2307
286	927	2303
287	929	2298
288	935	2300
289	938	2297
290	941	2292
291	943	2288
292	946	2283
293	949	2279
294	951	2274
295	951	2262
296	955	2261
297	958	2257
298	962	2255
299	965	2252
300	971	2255
301	971	2244
302	973	2240
303	976	2235
304	982	2239
305	985	2235
306	988	2231
307	991	2228
308	994	2224
309	997	2219
310	999	2214
311	1002	22103312	1005	22063313	1008	22033314	1011	21993315	1014	21953316	1016	21903317	1019	21863318	1022	21823319	1025	2178320	1025	2168
321	1028	2165
322	1031	2161
323	1034	2159
324	1037	2154
325	1040	2150
326	1042	2145
327	1045	2141
3328	1050	21423329	1053	21393330	1056	21353331	1059	21313332	1061	21263333	1064	2122334	1065	2114
335	1067	2110
336	1071	2108
337	1074	2103
338	1077	2101
339	1079	2095
340	1082	2092
341	1085	2089
342	1088	2084
343	1091	2081
344	1094	2078
345	1097	2074
346	1100	2070
347	1102	2065
348	1104	2060
349	1107	2056
350	1109	2051
351	1112	2048
352	1115	2045
353	1118	2041
354	1121	2038
355	1124	2033
356	1127	2030
357	1130	2026
358	1133	2023
359	1135	2017
3360	1141	20213361	1145	20183362	1148	20153363	1151	20123364	1154	20083365	1157	20053366	1161	2003
367	1164	20003368	1166	19953369	1169	19913370	1171	19873371	1174	19823372	1177	19793373	1180	19763374	1183	19723375	1185	19673376	1188	19643377	1191	19603378	1193	19563379	1196	19513380	1198	19473381	1201	19433382	1204	19403383	1208	19373384	1210	19333385	1213	19293386	1216	19273387	1219	1923
388	1221	1919
389	1225	1917
390	1228	1912
