Eig07_AEA_dm_,HTm,Eig09_AEA_ri_,ATS6m,Mor11u,SpDiam_X,Psi_i_0d,SpMaxA_AEA_dm_,P_VSA_v_2,Mor17v,BP,log_vp,vp
0.0,2.558,0.0,0.0,-0.533,2.0,0.093,0.742,67.828,-0.193,147.5,-0.1639052927494049,0.685637728201223
-1.505,2.523,0.0,0.113,0.078,2.0,0.026,0.373,25.145,-0.042,178.889,-0.0010513782936554,0.99758204
-1.35,2.18,0.0,0.202,0.29,2.0,0.024,0.344,42.683,-0.055,205.5,-1.004329098212991,0.09900814
-0.382,4.265,-0.198,1.04,0.011,2.0,-0.004,0.302,36.145,0.056,299.0,-3.0087739243075053,0.0009799999999999
-1.0,3.535,-0.489,1.627,-0.409,2.0,-0.004,0.277,25.145,-0.177,153.79645882686498,-1.2540276050567627,0.0557150333664082
-1.373,2.402,0.0,1.737,-1.12,2.0,-0.011,0.367,25.145,-0.346,114.20860082665604,0.0718820073061253,1.18
-1.0,2.102,-0.922,0.028,0.116,1.945,-0.012,0.288,16.786,-0.205,253.5,-1.913640169325252,0.0121999999999999
-1.483,1.968,0.0,1.771,-1.022,2.0,-0.01,0.242,42.683,-0.426,195.0,-1.1853837435236894,0.06525537
-0.52,4.111,-0.68,1.613,-0.073,2.0,-0.005,0.287,78.828,0.05,285.5,-3.9281179926938745,0.000118
1.0,5.505,0.394,2.726,0.557,2.0,0.0,0.216,36.145,-0.048,323.5,-3.649751981665837,0.0002239999999999
-1.0,2.437,-0.258,0.276,-0.829,2.0,-0.003,0.32,11.0,-0.493,176.667,0.2787536009528289,1.9
-1.381,2.076,0.0,0.351,-0.157,2.0,0.025,0.343,42.683,-0.079,201.9,-0.94881177036316,0.11250925
-0.244,3.88,-0.39,2.005,-0.122,2.0,0.002,0.263,53.683,0.032,252.5,-1.5228787452803376,0.0299999999999999
-0.257,3.999,-0.484,1.208,0.019,2.0,-0.005,0.334,78.828,0.036,223.0,-1.4647058799572297,0.0343
-1.0,2.687,-1.0,1.11,-0.032,2.0,-0.013,0.303,42.683,-0.188,220.0,-1.221813066552386,0.0600049299999999
0.0,2.051,0.0,1.082,-1.054,2.0,-0.039,0.489,25.145,-0.216,130.5,1.021189299069938,10.5
0.97,5.988,0.268,2.626,-0.031,1.968,0.0,0.268,47.145,-0.35,273.611,-2.4828548431396484,0.0032896156330784
0.457,4.256,0.0,3.037,-1.528,2.0,0.0,0.262,36.145,-0.497,229.0,-2.676589012145996,0.0021057702602126
-1.0,2.686,-0.522,2.36,-1.978,2.0,-0.003,0.34,42.683,-0.556,184.01420593164187,-0.8527645468711853,0.1403574447424696
-0.573,2.981,-0.522,2.302,-1.043,2.0,-0.004,0.357,42.683,-0.37,195.5,-0.8026837346849218,0.15751295
-1.0,2.048,-0.522,0.107,-1.762,1.927,0.005,0.348,0.0,-0.441,154.444,0.4771569725243357,3.00024674
0.056,3.686,0.0,2.565,-2.672,2.0,0.001,0.272,36.145,-0.464,208.2834603432343,-1.8115370273590088,0.0154334483422589
-1.425,2.984,0.0,0.0,-0.701,1.903,0.026,0.462,67.828,-0.15,200.4000430348038,-1.187097668647766,0.0649983498874064
