CID,Canonical_Name,Imax,log_vp
107,3-PHENYLPROPIONIC ACID,46.0,-2.7898504734039307
125,4-HYDROXYBENZYL ALCOHOL,17.0,-1.808576226234436
176,ACETIC ACID,100.0,1.0511882404450583
177,ACETALDEHYDE,59.0,2.879418355019145
180,ACETONE,57.0,2.2553082229562302
243,BENZOIC ACID,26.0,-3.124903994439416
244,BENZYL ALCOHOL,34.5,-1.004329098212991
261,BUTYRALDEHYDE,94.0,1.9614568119185816
262,BUTANEDIOL,34.0,-0.6143937264016879
323,COUMARIN,46.0,-3.0087739243075053
325,CUMINYL ALCOHOL,27.0,-1.1791648864746094
332,2-METHOXY-4-VINYLPHENOL,55.0,-1.971313714981079
335,O-CRESOL,70.0,-0.6063890719951449
342,M-CRESOL,50.0,-1.0109596622655508
379,OCTANOIC ACID,52.0,-2.430626090384954
454,ALD C8,72.0,0.0718820073061253
460,GUAIACOL,74.0,-0.9871627752948278
527,PROPANAL,75.0,2.3706413187890685
660,"3,4-DIHYDROCOUMARIN",45.0,1.1271047983648077
679,METHYL SULFOXIDE,37.0,-0.351116574689976
798,INDOLE,65.0,-1.913640169325252
876,DL-METHIONINE,45.0,-2.403259038925171
931,NAPHTHALENE,68.0,-1.0835103091689993
985,PALMITIC ACID NATURAL,52.0,-6.42021640338319
996,PHENOL,65.0,-0.4528051632701918
997,PHENYLPYRUVIC ACID,35.0,-3.914681196212769
998,PHENYL ACETALD,40.5,-0.1854080408811569
1001,2-PHENYLETHYLAMINE,70.0,-0.6335413293586363
1032,PROPIONIC ACID,93.0,0.5185139398778874
1049,PYRIDINE,90.0,1.1761269768603544
1060,PYRUVIC ACID,67.0,-0.9027931690216064
1068,DIMETHYL SULFIDE NATURAL,100.0,2.601008613534956
1127,TETRAHYDROTHIOPHENE,70.0,1.2553082229079793
1136,SULFUROL MILKY,40.0,-1.1982266902923584
1213,GEOSMIN,40.0,-1.6294440031051636
1287,TEA POLYPHENOL,36.0,-6.696102619171143
2214,ACETOVANILLONE,25.0,-3.822329521179199
2345,BENZYL BENZOATE,24.0,-3.649751981665837
2346,BENZYL ISOTHIOCYANATE,70.0,-1.2808682918548584
2537,CAMPHOR,48.0,-0.6935392652598539
2682,HEXADECANOL,0.0,-5.221848749616356
2879,PARA-CRESOL,65.0,-0.94881177036316
3102,BENZOPHENONE,28.0,-1.653104543685913
3314,EUGENOL NATURAL,57.0,-1.5228787452803376
3611,HINOKITIOL,10.0,-2.666424036026001
3893,LAURIC ACID,18.0,-4.795880017344075
4133,METHYL SALICYLATE,59.0,-1.4647058799572297
5054,RESORCINOL,30.0,-3.311989747008261
5144,SAFROLE,56.0,-1.1511952989481962
5541,TRIACETINE,23.0,-2.606389703644708
5610,TIRAMINE,20.0,-1.898734211921692
5634,10-UNDECENOIC ACID,30.0,-3.360424757003784
5780,D-SORBITOL,15.0,-4.640820503234863
5950,ALANINE L,5.0,-0.5356670618057251
5961,GLUTAMINE L,0.0,-3.8914096355438232
6050,TRIBUTYRIN,48.0,-2.886056647693163
6106,LEUCINE L,8.0,-2.5884780883789062
6184,HEXANAL (ALDEHYDE C-6),57.0,1.021189299069938
6213,METHYL SULFONE,12.0,0.3889422118663788
6276,PENTANOL,58.0,0.6532482315800169
6343,ethyl mercaptan,100.0,2.645212276027712
6363,ISOPROPYLAMINE,100.0,2.679236413572627
6364,ISO PROPYL MERCAPTANE,100.0,2.4429498695778618
6532,LINALYL ISOBUTYRATE,45.0,-2.843930244445801
6548,TETRAHYDROLINALOL,46.0,-0.9990931153297424
6549,LINALOOL,45.0,-0.8026837346849218
6558,ISO BUTYL AMINE,100.0,1.9989486221852264
6560,2-METHYL-1-PROPANOL,60.0,0.954278227243998
6561,ISOBUTYRALDEHYDE,95.0,2.0597884120707377
6569,2-BUTANONE,68.0,1.8962862802938836
6584,METHYL ACETATE,49.5,2.238708961126116
6590,ISOBUTYRIC ACID,70.0,0.2576785748691845
6616,(+)CAMPHENE,32.0,0.4771569725243357
6631,MENTANYL ACETATE,45.0,-1.5717229843139648
6632,TERPINEOL ACETATE,45.0,-1.800373673439026
6654,ALPHA-PINENE,37.0,0.6766936096248666
6658,METHYL METHACRYLATE,76.0,1.4661615882971046
6660,CYCLOTENE (METHYL CYCLOPENTENOLONE),55.0,-1.289709448814392
6669,MUSK KETONE,38.25,-6.522878745280337
6736,3-METHYLINDOLE,58.0,-0.8857703804969788
6753,MUSK AMBRETTE,35.0,-4.90403938293457
6781,DIETHYL PHTHALATE (DEP),0.0,-2.677780705266081
6826,DIMETHYL ANTHRANILATE,43.0,-1.8759392499923704
6835,2-METHOXYBIPHENYL,12.0,-1.3141134977340698
6873,ISOBUTYL SALICYLATE,34.0,-3.3123273849487305
6874,ISOAMYL SALICYLATE,35.0,-3.1094231605529785
6877,ETHYL ANTHRANILATE,16.0,-1.873674154281616
6885,PHTHALIDE,25.0,-0.6715314984321594
6920,2-ACETYL THIOPHENE,38.0,-0.4395534694194793
6937,6-TERT-BUTYL-M-CRESOL,35.0,-1.4125850200653076
6943,ISOPROPYL PHENOL,59.0,-1.2116905450820925
6985,"2',4'-DIMETHYLACETOPHENONE",48.0,-1.140040159225464
6986,ISO MENTHONE,51.0,-0.4169634580612182
6989,THYMOL,55.0,-1.7958800173440752
6997,2 ETHYL PHENOL,78.0,-0.8153085691824012
6998,SALICYLALDEHYDE,72.0,-0.2269453066357374
7002,1-methylnaphthalene,58.0,1.3617278360175928
7016,2-CYCLOHEXYLCYCLOHEXANONE,16.0,-1.0738445520401
7041,"2,6-DIMETHOXYPHENOL",50.0,-1.9667584896087649
7043,VERATROLE,34.0,-0.7062180042266846
7047,QUINOLINE,67.0,-1.221813066552386
7055,2-METHYLNAPHTHALENE,48.0,-1.259637310505756
7059,6-METHYLQUINOLINE,50.0,0.4771212547196624
7095,BIPHENYL,18.0,-2.049356254542725
7122,NAPTHYL METHYL KETONE BETA (ORANGER CRYSTALS),40.5,-1.7749991416931152
7127,METHYL EUGENOL,30.0,-1.6989700043360187
7128,METHYL ISOEUGENOL,21.5,-1.4959099292755127
7136,ACETYL EUGENOL,35.0,-2.4955875873565674
7137,ISOEUGENYL ACETATE,32.0,-2.41384506225586
7144,4 METHYL GUAIACOL,72.0,-1.4751213788986206
7146,HYDRATROPIC ALDEHYDE,48.0,-0.1308242380619049
7147,1-PHENYL-1-PROPANOL,46.0,-1.2393795251846311
7148,propiophenone,34.0,0.1760912590556812
7165,ETHYL BENZOATE,51.0,-0.731096088886261
7170,ETHYL BENZOYLACETATE,16.0,-3.260669946670532
7194,PHENETHYL BENZOATE,43.0,-3.318645000457764
7222,BENZOTHIAZOLE,75.0,-0.9216873049736024
7225,2-METHYLBENZOXAZOLE,58.0,-0.9959966540336608
7249,"3,4-DIMETHYLPHENOL",42.0,-1.448550002027125
7283,2-METHYL BUTYL AMINE,85.0,1.2834666967391968
7284,2-METHYLBUTYRALDEHYDE,82.0,1.5155950784683228
7302,GAMMA-BUTYROLACTONE,25.0,0.051188241217074
7335,CARVYL ACETATE,65.0,-2.071737766265869
7336,CARVYL PROPIONATE-L,50.0,-2.4699699878692627
7342,ETHYL ISOBUTYRATE,65.0,1.1555047035217283
7344,ETHYL LACTATE,47.0,0.2304489213782739
7351,ISOBUTYL ISOBUTYRATE,41.5,0.6364878963533654
7353,BUTYL ISOBUTYRATE,35.0,0.3693504333496094
7358,2-ETHYL-1-BUTANOL,59.0,-0.0457574905606751
7360,TETRAHYDROFURFURYL ALCOHOL,26.0,0.1446099241379734
7361,FURFURYL ALCOHOL,36.5,-0.400627152534886
7362,FURFURAL,34.0,0.051188241217074
7363,FURFURAL MERCAPTAN,75.0,0.9290048480033876
7391,4-TERT-BUTYLCYCLOHEXAN-1-OL,25.0,-1.161453127861023
7392,4-TERT-BUTYLCYCLOHEXANONE,34.0,-0.635209858417511
7409,STYRALYL ALCOHOL,48.0,-1.0
7410,ACETOPHENONE,58.0,-0.0010513782936554
7413,CYCLOHEXANECARBOXYLIC ACID,60.0,-1.1598585844039917
7438,LAEVO-CARVEOL,20.0,-1.3270095586776731
7460,A PHELLANDRENE,55.0,0.183026984333992
7461,GAMMA-TERPINENE,50.0,0.1484861224889755
7462,TERPINENE ALPHA,58.0,-0.0057628215290606
7463,PARA-CYMENE,55.0,0.1761269768603544
7465,4-ISOPROPYLPHENOL,34.0,-1.3764381408691406
7476,ACETANISOLE,20.0,-2.191114132640188
7500,ETHYLBENZENE,71.0,0.8293394909573714
7501,STYRENE,80.0,0.7011717839404096
7505,BENZONITRILE,66.0,-0.1163028463037531
7531,DIMETHYL BENZYL CARBINOL,19.0,-1.2181891202926636
7559,METHYL PHENYL ACETATE,68.0,-0.8860566476931632
7562,"2-BENZYL-1,3-DIOXOLANE",28.0,-0.9261577129364014
7583,PHENYL OXIDE,46.0,-1.6716203965612624
7584,AMYL CINNAMIC ALCOHOL - IFF,20.0,-2.278247117996216
7590,ETHYL PHENYL ACETATE,62.0,-1.0323333740234375
7593,DIBENZYL KETONE,33.0,-2.3752129077911377
7601,PHENYL ETHYL PHENYL ACETATE,20.0,-3.166331052780152
7633,DIMETHYL PHENYL ETHYL CARBINYL ACETATE,30.0,-1.8956656455993648
7635,2 ETHYL HEXYL ACETATE,65.0,-0.638272163982407
7643,METHYL 3-PHENYLPROPIONATE,34.0,-1.2185217142105105
7646,BENZYL ISOBUTYRATE,40.5,-1.7102899551391602
7650,BENZYL BUTYRATE,65.0,-1.746847152709961
7651,BENZYL ISOVALERATE,60.5,-1.760762095451355
7654,PHENYL ETHYL ACETATE,27.0,-1.1048433780670166
7655,PHENYL ETHYL ISOBUTYRATE,29.0,-1.901644945144653
7657,DIBENZYL ETHER,4.0,0.0
7662,3-PHENYLPROPYL ISOBUTYRATE,45.0,-2.1950607299804688
7695,ANISYL ACETATE,27.0,-2.0462605953216557
7702,DIHYDROANETHOL,37.0,-0.8532006144523621
7704,OCTALACTONE GAMMA,31.5,-0.6815367341041565
