,CID,Canonical_Name,Imax,vp_exp,predicted_log_vp,vp_source,log_vp
0,107,3-PHENYLPROPIONIC ACID,46.0,,-2.7898504734039307,predicted,-2.7898504734039307
1,125,4-HYDROXYBENZYL ALCOHOL,17.0,,-1.808576226234436,predicted,-1.808576226234436
2,176,ACETIC ACID,100.0,11.25092528,0.0,experimental,1.0511882404450583
4,177,ACETALDEHYDE,59.0,757.56230192,0.0,experimental,2.8794183550191454
5,180,ACETONE,57.0,180.01480442,0.0,experimental,2.2553082229562302
6,243,BENZOIC ACID,26.0,0.00075006,0.0,experimental,-3.124903994439416
8,244,BENZYL ALCOHOL,34.5,0.09900814,0.0,experimental,-1.0043290982129913
10,261,BUTYRALDEHYDE,94.0,91.50752558,0.0,experimental,1.9614568119185816
11,262,BUTANEDIOL,34.0,0.243,0.0,experimental,-0.6143937264016879
12,323,COUMARIN,46.0,0.00098,0.0,experimental,-3.0087739243075053
14,325,CUMINYL ALCOHOL,27.0,,-1.1791648864746094,predicted,-1.1791648864746094
15,332,2-METHOXY-4-VINYLPHENOL,55.0,,-1.971313714981079,predicted,-1.971313714981079
16,335,O-CRESOL,70.0,0.24752036,0.0,experimental,-0.6063890719951449
17,342,M-CRESOL,50.0,0.09750802,0.0,experimental,-1.0109596622655508
18,379,OCTANOIC ACID,52.0,0.00371,0.0,experimental,-2.430626090384954
20,454,ALD C8,72.0,1.18,0.0,experimental,0.07188200730612536
22,460,GUAIACOL,74.0,0.103,0.0,experimental,-0.9871627752948278
24,527,PROPANAL,75.0,234.76930743,0.0,experimental,2.3706413187890685
25,660,"3,4-DIHYDROCOUMARIN",45.0,13.4,0.0,experimental,1.1271047983648077
26,679,METHYL SULFOXIDE,37.0,0.44553664,0.0,experimental,-0.351116574689976
27,798,INDOLE,65.0,0.0122,0.0,experimental,-1.9136401693252518
28,876,DL-METHIONINE,45.0,,-2.403259038925171,predicted,-2.403259038925171
29,931,NAPHTHALENE,68.0,0.08250679,0.0,experimental,-1.0835103091689993
30,985,PALMITIC ACID NATURAL,52.0,3.8e-07,0.0,experimental,-6.42021640338319
31,996,PHENOL,65.0,0.35252899,0.0,experimental,-0.4528051632701918
32,997,PHENYLPYRUVIC ACID,35.0,,-3.9146811962127686,predicted,-3.9146811962127686
33,998,PHENYL ACETALD,40.5,,-0.18540804088115692,predicted,-0.18540804088115692
34,1001,2-PHENYLETHYLAMINE,70.0,0.23251912,0.0,experimental,-0.6335413293586363
35,1032,PROPIONIC ACID,93.0,3.3,0.0,experimental,0.5185139398778874
37,1049,PYRIDINE,90.0,15.0012337,0.0,experimental,1.1761269768603544
38,1060,PYRUVIC ACID,67.0,,-0.9027931690216064,predicted,-0.9027931690216064
39,1068,DIMETHYL SULFIDE NATURAL,100.0,399.03281646,0.0,experimental,2.601008613534956
41,1127,TETRAHYDROTHIOPHENE,70.0,18.00148044,0.0,experimental,1.2553082229079793
42,1136,SULFUROL MILKY,40.0,,-1.1982266902923584,predicted,-1.1982266902923584
43,1213,GEOSMIN,40.0,,-1.6294440031051636,predicted,-1.6294440031051636
44,1287,TEA POLYPHENOL,36.0,,-6.696102619171143,predicted,-6.696102619171143
45,2214,ACETOVANILLONE,25.0,,-3.822329521179199,predicted,-3.822329521179199
46,2345,BENZYL BENZOATE,24.0,0.000224,0.0,experimental,-3.6497519816658373
47,2346,BENZYL ISOTHIOCYANATE,70.0,,-1.2808682918548584,predicted,-1.2808682918548584
48,2537,CAMPHOR,48.0,0.20251665,0.0,experimental,-0.6935392652598539
49,2682,HEXADECANOL,0.0,6e-06,0.0,experimental,-5.221848749616356
50,2879,PARA-CRESOL,65.0,0.11250925,0.0,experimental,-0.9488117703631599
51,3102,BENZOPHENONE,28.0,,-1.653104543685913,predicted,-1.653104543685913
52,3314,EUGENOL NATURAL,57.0,0.03,0.0,experimental,-1.5228787452803376
55,3611,HINOKITIOL,10.0,,-2.666424036026001,predicted,-2.666424036026001
56,3893,LAURIC ACID,18.0,1.6e-05,0.0,experimental,-4.795880017344075
57,4133,METHYL SALICYLATE,59.0,0.0343,0.0,experimental,-1.4647058799572295
59,5054,RESORCINOL,30.0,0.00048754,0.0,experimental,-3.3119897470082615
60,5144,SAFROLE,56.0,0.0706,0.0,experimental,-1.1511952989481962
61,5541,TRIACETINE,23.0,0.0024752,0.0,experimental,-2.606389703644708
62,5610,TIRAMINE,20.0,,-1.898734211921692,predicted,-1.898734211921692
63,5634,10-UNDECENOIC ACID,30.0,,-3.360424757003784,predicted,-3.360424757003784
64,5780,D-SORBITOL,15.0,,-4.640820503234863,predicted,-4.640820503234863
65,5950,ALANINE L,5.0,,-0.5356670618057251,predicted,-0.5356670618057251
66,5961,GLUTAMINE L,0.0,,-3.8914096355438232,predicted,-3.8914096355438232
67,6050,TRIBUTYRIN,48.0,0.0013,0.0,experimental,-2.886056647693163
68,6106,LEUCINE L,8.0,,-2.5884780883789062,predicted,-2.5884780883789062
69,6184,HEXANAL (ALDEHYDE C-6),57.0,10.5,0.0,experimental,1.021189299069938
71,6213,METHYL SULFONE,12.0,,0.3889422118663788,predicted,0.3889422118663788
72,6276,PENTANOL,58.0,4.50037011,0.0,experimental,0.6532482315800169
73,6343,ethyl mercaptan,100.0,441.78633251,0.0,experimental,2.6452122760277117
74,6363,ISOPROPYLAMINE,100.0,477.78929339,0.0,experimental,2.679236413572627
75,6364,ISO PROPYL MERCAPTANE,100.0,277.3,0.0,experimental,2.4429498695778618
76,6532,LINALYL ISOBUTYRATE,45.0,,-2.843930244445801,predicted,-2.843930244445801
77,6548,TETRAHYDROLINALOL,46.0,,-0.9990931153297424,predicted,-0.9990931153297424
78,6549,LINALOOL,45.0,0.15751295,0.0,experimental,-0.8026837346849218
83,6558,ISO BUTYL AMINE,100.0,99.75820411,0.0,experimental,1.9989486221852264
84,6560,2-METHYL-1-PROPANOL,60.0,9.00074022,0.0,experimental,0.9542782272439981
85,6561,ISOBUTYRALDEHYDE,95.0,114.75943782,0.0,experimental,2.0597884120707377
86,6569,2-BUTANONE,68.0,78.75647693,0.0,experimental,1.8962862802938834
87,6584,METHYL ACETATE,49.5,173.26424925,0.0,experimental,2.238708961126116
88,6590,ISOBUTYRIC ACID,70.0,1.81,0.0,experimental,0.2576785748691845
89,6616,(+)CAMPHENE,32.0,3.00024674,0.0,experimental,0.4771569725243357
90,6631,MENTANYL ACETATE,45.0,,-1.5717229843139648,predicted,-1.5717229843139648
91,6632,TERPINEOL ACETATE,45.0,,-1.8003736734390259,predicted,-1.8003736734390259
92,6654,ALPHA-PINENE,37.0,4.75,0.0,experimental,0.6766936096248666
93,6658,METHYL METHACRYLATE,76.0,29.25240572,0.0,experimental,1.4661615882971046
94,6660,CYCLOTENE (METHYL CYCLOPENTENOLONE),55.0,,-1.289709448814392,predicted,-1.289709448814392
95,6669,MUSK KETONE,38.25,3e-07,0.0,experimental,-6.522878745280337
96,6736,3-METHYLINDOLE,58.0,,-0.8857703804969788,predicted,-0.8857703804969788
97,6753,MUSK AMBRETTE,35.0,,-4.90403938293457,predicted,-4.90403938293457
98,6781,DIETHYL PHTHALATE (DEP),0.0,0.0021,0.0,experimental,-2.677780705266081
99,6826,DIMETHYL ANTHRANILATE,43.0,,-1.8759392499923706,predicted,-1.8759392499923706
100,6835,2-METHOXYBIPHENYL,12.0,,-1.3141134977340698,predicted,-1.3141134977340698
101,6873,ISOBUTYL SALICYLATE,34.0,,-3.3123273849487305,predicted,-3.3123273849487305
102,6874,ISOAMYL SALICYLATE,35.0,,-3.1094231605529785,predicted,-3.1094231605529785
103,6877,ETHYL ANTHRANILATE,16.0,,-1.8736741542816162,predicted,-1.8736741542816162
104,6885,PHTHALIDE,25.0,,-0.6715314984321594,predicted,-0.6715314984321594
105,6920,2-ACETYL THIOPHENE,38.0,,-0.43955346941947937,predicted,-0.43955346941947937
106,6937,6-TERT-BUTYL-M-CRESOL,35.0,,-1.4125850200653076,predicted,-1.4125850200653076
107,6943,ISOPROPYL PHENOL,59.0,,-1.2116905450820923,predicted,-1.2116905450820923
108,6985,"2',4'-DIMETHYLACETOPHENONE",48.0,,-1.1400401592254639,predicted,-1.1400401592254639
109,6986,ISO MENTHONE,51.0,,-0.41696345806121826,predicted,-0.41696345806121826
110,6989,THYMOL,55.0,0.016,0.0,experimental,-1.7958800173440752
111,6997,2 ETHYL PHENOL,78.0,0.153,0.0,experimental,-0.8153085691824012
112,6998,SALICYLALDEHYDE,72.0,0.593,0.0,experimental,-0.22694530663573742
113,7002,1-methylnaphthalene,58.0,23.0,0.0,experimental,1.3617278360175928
