CID,Name,rdkit_MolWt,rdkit_MolLogP,rdkit_TPSA,rdkit_NumHDonors,rdkit_NumHAcceptors,rdkit_NumRotatableBonds,rdkit_RingCount,rdkit_NumAromaticRings,rdkit_FractionCSP3,rdkit_HeavyAtomCount,has_aldehyde,has_alpha_beta_unsat_aldehyde,has_ketone,has_ester,has_alcohol,has_phenol,has_carboxylic_acid,has_sulfur,has_nitrogen,has_aromatic_ring
179,acetoin ,88.106,-0.043800000000000006,37.3,1.0,2.0,1.0,0.0,0.0,0.75,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
240,benzaldehyde ,106.12399999999997,1.4990999999999999,17.07,0.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
244,benzyl alcohol ,108.13999999999997,1.1788999999999998,20.23,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
323,coumarin ,146.14499999999995,1.7929999999999997,30.21,0.0,2.0,0.0,2.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
326,cumin aldehyde ,148.20499999999996,2.6225000000000014,17.07,0.0,1.0,2.0,1.0,1.0,0.3,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
454,octanal ,128.215,2.5458000000000007,17.07,0.0,1.0,6.0,0.0,0.0,0.875,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
798,indole ,117.15099999999997,2.1678999999999995,15.79,1.0,0.0,0.0,2.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
957,octanol ,130.23100000000002,2.3392000000000013,20.23,1.0,1.0,6.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1183,vanillin ,152.14899999999997,1.2133,46.53,1.0,3.0,2.0,1.0,1.0,0.125,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2345,benzyl benzoate ,212.248,3.0436000000000014,26.3,0.0,2.0,3.0,2.0,2.0,0.07142857142857142,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2758,"1,8-cineol ",154.25300000000001,2.7441000000000013,9.23,0.0,1.0,0.0,3.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2879,p-cresol ,108.13999999999999,1.7006199999999996,20.23,1.0,1.0,0.0,1.0,1.0,0.14285714285714285,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
3314,eugenol ,164.20399999999998,2.1293,29.46,1.0,2.0,3.0,1.0,1.0,0.2,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
4133,methyl salicylate ,152.14899999999997,1.1787999999999998,46.53,1.0,3.0,1.0,1.0,1.0,0.125,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6054,phenylethyl alcohol ,122.16699999999997,1.2213999999999998,20.23,1.0,1.0,2.0,1.0,1.0,0.25,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6184,hexanal ,100.16099999999999,1.7656,17.07,0.0,1.0,4.0,0.0,0.0,0.8333333333333334,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6501,aldehyde c-16 strawberry ,206.24099999999999,1.8637,38.83,0.0,3.0,3.0,2.0,1.0,0.4166666666666667,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6532,linalyl isobutyrate ,224.34399999999994,3.876700000000003,26.3,0.0,2.0,6.0,0.0,0.0,0.6428571428571429,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
