,CID,bp_value,bp_source
0,162268,266.90425326637444,predicted
1,2758,176.667,experimental
2,8187,216.6031199692054,predicted
3,18827,175.63701784945226,predicted
4,17121,193.92259597712598,predicted
5,21895,233.4891599879437,predicted
6,8821,156.12329851037612,predicted
7,5362833,146.54918697793119,predicted
8,61031,180.17017586061291,predicted
9,18938,178.5763759535189,predicted
10,31234,235.5,experimental
11,10795,64.5,experimental
12,179,147.5,experimental
13,7410,202.5,experimental
14,6440618,291.7569451053727,predicted
15,7136,261.74270336712664,predicted
16,7137,240.70509253668104,predicted
17,6501,273.611,experimental
18,5365976,270.183961849088,predicted
19,526760,185.01238288350976,predicted
20,17617,255.12771518636282,predicted
21,111727,265.8771520682525,predicted
22,8878,211.0,experimental
23,31266,185.0,experimental
24,24117,272.2495832034085,predicted
25,520506,185.01238288350612,predicted
26,5282108,258.0,experimental
27,440968,185.01238288350612,predicted
28,7462,174.0,experimental
29,17100,191.94936208611693,predicted
30,164422,256.8349912037228,predicted
31,107166,269.7551176257983,predicted
32,10857465,274.4956524032854,predicted
33,31209,228.3544977807287,predicted
34,16299,268.0,experimental
35,7738,259.5,experimental
36,31244,248.5,experimental
37,7695,210.5426747671678,predicted
38,61007,189.0303889636856,predicted
39,106866,212.53336390149468,predicted
40,240,178.889,experimental
41,8785,213.5,experimental
42,244,205.5,experimental
43,2345,323.5,experimental
44,7708,202.5,experimental
45,7646,229.5,experimental
46,7650,239.0,experimental
47,31219,221.0,experimental
48,8363,265.46821618714864,predicted
49,5281515,257.5,experimental
50,32052,209.05912105373295,predicted
51,26955,271.0,experimental
52,5352481,185.0123828835134,predicted
53,14896,185.01238288349884,predicted
54,94111,252.2769573587634,predicted
55,64685,235.26526697978255,predicted
56,31272,126.5,experimental
57,7983,166.667,experimental
58,120101,257.464426017141,predicted
59,6616,154.444,experimental
60,159055,185.01238288349884,predicted
61,64813,169.54728176971662,predicted
62,92292,243.00211953551138,predicted
63,65575,273.33678091430215,predicted
64,13918856,185.0123828835243,predicted
65,11085796,276.18862415975445,predicted
66,61585,304.5,experimental
67,5315892,248.5,experimental
68,637511,185.0123828835134,predicted
69,5282110,190.0047804161644,predicted
70,5281167,156.5,experimental
71,5363388,117.13682733256235,predicted
72,5367706,240.6637544889386,predicted
73,5352438,161.2636911405691,predicted
74,5352543,191.78650435319366,predicted
75,5352539,172.5399317752598,predicted
76,6021887,185.01238288350612,predicted
77,15461361,180.75909855954228,predicted
78,5362620,137.1699574936713,predicted
79,5362814,110.97192141848296,predicted
80,5362792,126.12213785924928,predicted
81,5362720,121.10427401149764,predicted
82,1549018,204.62953577653457,predicted
83,638011,228.5,experimental
84,7794,206.5,experimental
85,8842,137.2440097530964,predicted
86,9017,229.0,experimental
87,7778,235.0,experimental
88,60985,249.0,experimental
89,323,299.0,experimental
90,326,153.79645882686498,predicted
91,517827,187.15953884631654,predicted
92,101330,282.7839537937017,predicted
93,6660,200.4000430348038,predicted
94,5366074,275.0,experimental
95,8175,208.333,experimental
96,8174,230.0,experimental
97,118134,273.5,experimental
98,25612,196.6843248020267,predicted
99,5365916,210.38718090323948,predicted
100,12810,181.82103085342624,predicted
101,12844,211.7614722045965,predicted
102,18698,179.41092548330153,predicted
103,61204,197.82444255889789,predicted
104,7943,185.01238288350612,predicted
105,519382,261.5,experimental
106,17739,153.96745185877307,predicted
107,62378,201.28934934044491,predicted
108,29096,228.50369901725094,predicted
109,10353,206.5,experimental
110,9024,235.04841686632187,predicted
111,7531,191.29676576473582,predicted
112,24915,254.0,experimental
113,102844,144.56259140843326,predicted
114,7632,204.9930756157138,predicted
115,83268,164.28076450162905,predicted
116,7583,258.5,experimental
117,8194,244.14978554842133,predicted
118,92606,261.49039042720665,predicted
119,24020,132.5,experimental
120,8857,77.0,experimental
121,8868,180.5,experimental
122,7165,75.5,experimental
123,7762,120.5,experimental
124,637758,202.8670173902533,predicted
125,8048,243.0,experimental
126,7797,188.5,experimental
127,31265,167.0,experimental
128,7342,112.5,experimental
129,7945,132.0,experimental
130,6433547,235.67598134285709,predicted
131,21059,161.98976213692453,predicted
132,31251,257.92166956005974,predicted
133,7799,207.0,experimental
134,8469,267.5,experimental
135,7749,99.0,experimental
136,118201,227.58480416090742,predicted
137,8365,234.0,experimental
138,8467,289.5,experimental
139,3314,252.5,experimental
140,15406,201.5,experimental
141,106748,161.14130580714982,predicted
142,109418,135.13044498389195,predicted
143,105512,185.01238288350612,predicted
